omega	a
400	0
412	1
415	2
415.6	2
415.7	21
416	22
417	27
418	30
419	32
# старт биений
#419.7	32
#419.8	25
#420	14
#421	7
# конец биений
422	4
423	4
424	3
425	3
426	2
430	1
440	0
