omega	a
400	0
402	0
404	0.5
406	1
408	1.5
#старт биений
#409	25
#411	23
#412	19
#413	16
# конец биений
414	18
415	23
416	28
417	31
418	34
419	35
420	35
420.5	33
# биения, дальше инвертированная съемка, справа налево
#423	25
#425	17
426	5
427	5
428	5
429	4
430	4
