Создано программой GetData Graph Digitizer 2.26.0.20, дата создания April 23 2019, 23:18,
на основе файла 'D:\ForcedLocking\data\Screenshot_2.jpg'

Линия #1
-1.20144628099174e+001	1.08139534883721e+001
-6.96280991735537e+000	1.32558139534884e+001
-5.44421487603306e+000	1.47093023255814e+001
-4.51446280991736e+000	1.57558139534884e+001
-3.80165289256198e+000	1.68604651162791e+001
-3.30578512396694e+000	1.76162790697674e+001
-2.84090909090909e+000	1.82558139534884e+001
-2.31404958677686e+000	1.92441860465116e+001
-1.91115702479339e+000	2.01744186046512e+001
-1.60123966942149e+000	2.09883720930233e+001
-1.22933884297521e+000	2.18604651162791e+001
-8.26446280991735e-001	2.28488372093023e+001
-3.30578512396695e-001	2.37209302325581e+001
1.34297520661157e-001	2.43604651162791e+001
7.23140495867767e-001	2.48255813953488e+001
1.31198347107438e+000	2.50581395348837e+001
1.96280991735537e+000	2.47093023255814e+001
2.48966942148760e+000	2.34883720930233e+001
2.92355371900826e+000	2.05813953488372e+001
3.29545454545455e+000	1.50581395348837e+001
3.54338842975207e+000	1.41860465116279e+001
3.76033057851240e+000	1.34883720930233e+001
3.91528925619835e+000	1.31976744186047e+001
4.10123966942149e+000	1.29651162790698e+001
4.41115702479339e+000	1.28488372093023e+001
4.72107438016529e+000	1.27325581395349e+001
5.18595041322314e+000	1.26744186046512e+001
8.28512396694215e+000	1.26744186046512e+001
8.37809917355372e+000	9.41860465116279e+000
