omega	a
400	1
402	1.5
403	1.7
403.5	1.8
404	2
404.5	2.2
404.8	2.2
405	2.5
# начало биений
#405.5	2.5
#405.6	25
#406	25
#408	24
#409	21
#410	19
#411	18
#412	17
# конец биений
413	19
415	26
417	33
418	35
418.5	35
419	36
420	36
421	34
# дальше инвертированная съемка, справа налево
429	7
430	6
432	5
434	4
435	4
# 421.5	26
# биения
# 428.8	28
